wires 0
00-98 01-3b 02-c7 03-bd 04-16 05-f2 06-4a 07-5d 
08-da 09-7d 0a-fa 0b-b7 0c-76 0d-31 0e-5e 0f-a7 
10-19 11-1e 12-21 13-8d 14-c6 15-8c 16-04 17-6b 
18-69 19-10 1a-5a 1b-c5 1c-89 1d-47 1e-11 1f-b8 
20-2a 21-12 22-96 23-35 24-4c 25-9a 26-70 27-7f 
28-55 29-39 2a-20 2b-7e 2c-63 2d-db 2e-c0 2f-46 
30-b9 31-0d 32-fe 33-d0 34-ad 35-23 36-df 37-56 
38-de 39-29 3a-74 3b-01 3c-f0 3d-b5 3e-64 3f-ef 
40-6d 41-e1 42-af 43-99 44-62 45-e8 46-2f 47-1d 
48-9d 49-5f 4a-06 4b-cb 4c-24 4d-ab 4e-8b 4f-68 
50-94 51-97 52-6c 53-73 54-78 55-28 56-37 57-a9 
58-bc 59-84 5a-1a 5b-fd 5c-aa 5d-07 5e-0e 5f-49 
60-f8 61-c4 62-44 63-2c 64-3e 65-83 66-f3 67-b3 
68-4f 69-18 6a-9c 6b-17 6c-52 6d-40 6e-e2 6f-91 
70-26 71-8e 72-cf 73-53 74-3a 75-c1 76-0c 77-b6 
78-54 79-d9 7a-f1 7b-eb 7c-b2 7d-09 7e-2b 7f-27 
80-ec 81-bb 82-c9 83-65 84-59 85-cc 86-e5 87-ca 
88-a0 89-1c 8a-f7 8b-4e 8c-15 8d-13 8e-71 8f-e6 
90-a4 91-6f 92-a1 93-c2 94-50 95-be 96-22 97-51 
98-00 99-43 9a-25 9b-d6 9c-6a 9d-48 9e-dd 9f-e0 
a0-88 a1-92 a2-d1 a3-a5 a4-90 a5-a3 a6-b4 a7-0f 
a8-d2 a9-57 aa-5c ab-4d ac-b0 ad-34 ae-fb af-42 
b0-ac b1-d8 b2-7c b3-67 b4-a6 b5-3d b6-77 b7-0b 
b8-1f b9-30 ba-d7 bb-81 bc-58 bd-03 be-95 bf-c8 
c0-2e c1-75 c2-93 c3-ce c4-61 c5-1b c6-14 c7-02 
c8-bf c9-82 ca-87 cb-4b cc-85 cd-d3 ce-c3 cf-72 
d0-33 d1-a2 d2-a8 d3-cd d4-e4 d5-ee d6-9b d7-ba 
d8-b1 d9-79 da-08 db-2d dc-f6 dd-9e de-38 df-36 
e0-9f e1-41 e2-6e e3-ea e4-d4 e5-86 e6-8f e7-fc 
e8-45 e9-f5 ea-e3 eb-7b ec-80 ed-f4 ee-d5 ef-3f 
f0-3c f1-7a f2-05 f3-66 f4-ed f5-e9 f6-dc f7-8a 
f8-60 f9-ff fa-0a fb-ae fc-e7 fd-5b fe-32 ff-f9 
end wires

wires 1
00-e0 01-5d 02-3b 03-86 04-ac 05-35 06-db 07-27 
08-42 09-e9 0a-6f 0b-f5 0c-18 0d-37 0e-df 0f-16 
10-c0 11-da 12-ee 13-e7 14-1e 15-31 16-0f 17-d0 
18-0c 19-a0 1a-69 1b-40 1c-65 1d-89 1e-14 1f-bb 
20-8e 21-c7 22-2d 23-36 24-97 25-dd 26-5b 27-07 
28-68 29-bd 2a-c4 2b-54 2c-e8 2d-22 2e-b4 2f-5f 
30-f7 31-15 32-e4 33-52 34-8c 35-05 36-23 37-0d 
38-7b 39-67 3a-4a 3b-02 3c-cf 3d-6e 3e-6c 3f-a8 
40-1b 41-72 42-08 43-bf 44-7e 45-c6 46-80 47-a2 
48-b1 49-d9 4a-3a 4b-7c 4c-53 4d-de 4e-78 4f-58 
50-c8 51-9c 52-33 53-4c 54-2b 55-70 56-76 57-d1 
58-4f 59-b9 5a-5e 5b-26 5c-c9 5d-01 5e-5a 5f-2f 
60-ed 61-b2 62-71 63-a4 64-cc 65-1c 66-b5 67-39 
68-28 69-1a 6a-9a 6b-ae 6c-3e 6d-7d 6e-3d 6f-0a 
70-55 71-62 72-41 73-88 74-c3 75-d3 76-56 77-b7 
78-4e 79-cd 7a-f3 7b-38 7c-4b 7d-6d 7e-44 7f-ad 
80-46 81-d6 82-84 83-87 84-82 85-98 86-03 87-83 
88-73 89-1d 8a-b3 8b-f0 8c-34 8d-e2 8e-20 8f-fa 
90-ba 91-f2 92-fc 93-f8 94-ce 95-a7 96-fb 97-24 
98-85 99-a3 9a-6a 9b-ea 9c-51 9d-ab 9e-ec 9f-d5 
a0-19 a1-dc a2-47 a3-99 a4-63 a5-d2 a6-f9 a7-95 
a8-3f a9-af aa-f1 ab-9d ac-04 ad-7f ae-6b af-a9 
b0-d4 b1-48 b2-61 b3-8a b4-2e b5-66 b6-eb b7-77 
b8-ca b9-59 ba-90 bb-1f bc-cb bd-29 be-d8 bf-43 
c0-10 c1-f6 c2-e1 c3-74 c4-2a c5-e5 c6-45 c7-21 
c8-50 c9-5c ca-b8 cb-bc cc-64 cd-79 ce-94 cf-3c 
d0-17 d1-57 d2-a5 d3-75 d4-b0 d5-9f d6-81 d7-fd 
d8-be d9-49 da-11 db-06 dc-a1 dd-25 de-4d df-0e 
e0-00 e1-c2 e2-8d e3-fe e4-32 e5-c5 e6-f4 e7-13 
e8-2c e9-09 ea-9b eb-b6 ec-9e ed-60 ee-12 ef-ff 
f0-8b f1-aa f2-91 f3-7a f4-e6 f5-0b f6-c1 f7-30 
f8-93 f9-a6 fa-8f fb-96 fc-92 fd-d7 fe-e3 ff-ef 
end wires

wires 2
00-80 01-6f 02-0d 03-d4 04-91 05-df 06-a2 07-8c 
08-fa 09-a6 0a-66 0b-c7 0c-a7 0d-02 0e-99 0f-84 
10-b6 11-4d 12-2d 13-32 14-72 15-42 16-49 17-b3 
18-56 19-e4 1a-2e 1b-5a 1c-50 1d-9f 1e-cb 1f-61 
20-67 21-37 22-8f 23-4a 24-4b 25-d1 26-44 27-81 
28-ff 29-90 2a-f4 2b-54 2c-f5 2d-12 2e-1a 2f-b7 
30-c9 31-57 32-13 33-7a 34-d3 35-60 36-97 37-21 
38-a0 39-c2 3a-a8 3b-8b 3c-3e 3d-76 3e-3c 3f-93 
40-f1 41-a9 42-15 43-9b 44-26 45-95 46-6d 47-65 
48-6a 49-16 4a-23 4b-24 4c-98 4d-11 4e-bc 4f-83 
50-1c 51-7e 52-ba 53-d2 54-2b 55-fd 56-18 57-31 
58-8a 59-e7 5a-1b 5b-db 5c-cf 5d-dd 5e-79 5f-e9 
60-35 61-1f 62-9a 63-a1 64-f3 65-47 66-0a 67-20 
68-dc 69-aa 6a-48 6b-ef 6c-bd 6d-46 6e-f9 6f-01 
70-a4 71-cd 72-14 73-e3 74-bb 75-89 76-3d 77-9e 
78-de 79-5e 7a-33 7b-fc 7c-ab 7d-f0 7e-51 7f-e0 
80-00 81-27 82-b1 83-4f 84-0f 85-d0 86-c4 87-92 
88-b5 89-75 8a-58 8b-3b 8c-07 8d-ed 8e-f8 8f-22 
90-29 91-04 92-87 93-3f 94-c5 95-45 96-bf 97-36 
98-4c 99-0e 9a-62 9b-43 9c-e1 9d-ca 9e-77 9f-1d 
a0-38 a1-63 a2-06 a3-ee a4-70 a5-e5 a6-09 a7-0c 
a8-3a a9-41 aa-69 ab-7c ac-c3 ad-c8 ae-eb af-ec 
b0-d7 b1-82 b2-f2 b3-17 b4-b8 b5-88 b6-10 b7-2f 
b8-b4 b9-d6 ba-52 bb-74 bc-4e bd-6c be-da bf-96 
c0-cc c1-fb c2-39 c3-ac c4-86 c5-94 c6-e8 c7-0b 
c8-ad c9-30 ca-9d cb-1e cc-c0 cd-71 ce-ea cf-5c 
d0-85 d1-25 d2-53 d3-34 d4-03 d5-e6 d6-b9 d7-b0 
d8-f6 d9-e2 da-be db-5b dc-68 dd-5d de-78 df-05 
e0-7f e1-9c e2-d9 e3-73 e4-19 e5-a5 e6-d5 e7-59 
e8-c6 e9-5f ea-ce eb-ae ec-af ed-8d ee-a3 ef-6b 
f0-7d f1-40 f2-b2 f3-64 f4-2a f5-2c f6-d8 f7-fe 
f8-8e f9-6e fa-08 fb-c1 fc-7b fd-55 fe-f7 ff-28 
end wires

wires 3
00-73 01-ac 02-96 03-f0 04-1e 05-bd 06-a2 07-64 
08-bf 09-34 0a-af 0b-7a 0c-25 0d-f2 0e-6f 0f-23 
10-2b 11-de 12-8a 13-3c 14-5d 15-bc 16-ff 17-ee 
18-95 19-92 1a-6a 1b-21 1c-be 1d-b9 1e-04 1f-ae 
20-26 21-1b 22-a7 23-0f 24-32 25-0c 26-20 27-f6 
28-db 29-6c 2a-4d 2b-10 2c-3e 2d-98 2e-5a 2f-f8 
30-e7 31-6e 32-24 33-36 34-09 35-c6 36-33 37-97 
38-ce 39-f4 3a-57 3b-ca 3c-13 3d-44 3e-2c 3f-93 
40-8c 41-e4 42-9c 43-da 44-3d 45-55 46-69 47-56 
48-4c 49-52 4a-fc 4b-d7 4c-48 4d-2a 4e-dd 4f-b8 
50-90 51-8f 52-49 53-5f 54-ec 55-45 56-47 57-3a 
58-59 59-58 5a-2e 5b-82 5c-c3 5d-14 5e-77 5f-53 
60-c8 61-86 62-9b 63-a9 64-07 65-b1 66-eb 67-a8 
68-fd 69-46 6a-1a 6b-78 6c-29 6d-e3 6e-31 6f-0e 
70-bb 71-a0 72-7d 73-00 74-f1 75-ef 76-99 77-5e 
78-6b 79-e9 7a-0b 7b-94 7c-ed 7d-72 7e-d6 7f-81 
80-e6 81-7f 82-5b 83-a6 84-85 85-84 86-61 87-fe 
88-d0 89-cd 8a-12 8b-b0 8c-40 8d-c7 8e-dc 8f-51 
90-50 91-c2 92-19 93-3f 94-7b 95-18 96-02 97-37 
98-2d 99-76 9a-fa 9b-62 9c-42 9d-ad 9e-f9 9f-ab 
a0-71 a1-d2 a2-06 a3-c1 a4-cf a5-f7 a6-83 a7-22 
a8-67 a9-63 aa-e5 ab-9f ac-01 ad-9d ae-1f af-0a 
b0-8b b1-65 b2-b3 b3-b2 b4-e2 b5-c0 b6-e0 b7-d4 
b8-4f b9-1d ba-fb bb-70 bc-15 bd-05 be-1c bf-08 
c0-b5 c1-a3 c2-91 c3-5c c4-e8 c5-c9 c6-35 c7-8d 
c8-60 c9-c5 ca-3b cb-f3 cc-d8 cd-89 ce-38 cf-a4 
d0-88 d1-d3 d2-a1 d3-d1 d4-b7 d5-ea d6-7e d7-4b 
d8-cc d9-e1 da-43 db-28 dc-8e dd-4e de-11 df-f5 
e0-b6 e1-d9 e2-b4 e3-6d e4-41 e5-aa e6-80 e7-30 
e8-c4 e9-79 ea-d5 eb-66 ec-54 ed-7c ee-17 ef-75 
f0-03 f1-74 f2-0d f3-cb f4-39 f5-df f6-27 f7-a5 
f8-2f f9-9e fa-9a fb-ba fc-4a fd-68 fe-87 ff-16 
end wires

wires 4
00-93 01-7b 02-5d 03-7d 04-a7 05-96 06-9a 07-e9 
08-60 09-6c 0a-8a 0b-13 0c-3f 0d-98 0e-c8 0f-c4 
10-31 11-dc 12-b7 13-0b 14-4a 15-43 16-75 17-25 
18-2c 19-bb 1a-22 1b-ac 1c-58 1d-7c 1e-5e 1f-f0 
20-62 21-f1 22-1a 23-f2 24-b4 25-17 26-e3 27-35 
28-ad 29-cf 2a-cb 2b-ed 2c-18 2d-b3 2e-b5 2f-4b 
30-f7 31-10 32-9b 33-34 34-33 35-27 36-85 37-86 
38-83 39-88 3a-db 3b-a4 3c-e6 3d-a6 3e-eb 3f-0c 
40-dd 41-cc 42-cd 43-15 44-6a 45-b6 46-65 47-ff 
48-8b 49-a9 4a-14 4b-2f 4c-76 4d-e0 4e-ec 4f-c5 
50-51 51-50 52-e2 53-67 54-a2 55-af 56-f3 57-7a 
58-1c 59-be 5a-6f 5b-e8 5c-e1 5d-02 5e-1e 5f-f9 
60-08 61-ef 62-20 63-ab 64-d5 65-46 66-ea 67-53 
68-d2 69-99 6a-44 6b-fe 6c-09 6d-8e 6e-c9 6f-5a 
70-f8 71-da 72-a0 73-e4 74-c3 75-16 76-4c 77-a8 
78-81 79-ee 7a-57 7b-01 7c-1d 7d-03 7e-b0 7f-ba 
80-91 81-78 82-ae 83-38 84-aa 85-36 86-37 87-9f 
88-39 89-92 8a-0a 8b-48 8c-bd 8d-d8 8e-6d 8f-ca 
90-ce 91-80 92-89 93-00 94-d4 95-97 96-05 97-95 
98-0d 99-69 9a-06 9b-32 9c-d1 9d-df 9e-f5 9f-87 
a0-72 a1-a5 a2-54 a3-b9 a4-3b a5-a1 a6-3d a7-04 
a8-77 a9-49 aa-84 ab-63 ac-1b ad-28 ae-82 af-55 
b0-7e b1-d3 b2-de b3-2d b4-24 b5-2e b6-45 b7-12 
b8-fc b9-a3 ba-7f bb-19 bc-fb bd-8c be-59 bf-c1 
c0-c6 c1-bf c2-c7 c3-74 c4-0f c5-4f c6-c0 c7-c2 
c8-0e c9-6e ca-8f cb-2a cc-41 cd-42 ce-90 cf-29 
d0-d6 d1-9c d2-68 d3-b1 d4-94 d5-64 d6-d0 d7-e5 
d8-8d d9-f6 da-71 db-3a dc-11 dd-40 de-b2 df-9d 
e0-4d e1-5c e2-52 e3-26 e4-73 e5-d7 e6-3c e7-fd 
e8-5b e9-07 ea-66 eb-3e ec-4e ed-2b ee-79 ef-61 
f0-1f f1-21 f2-23 f3-56 f4-fa f5-9e f6-d9 f7-30 
f8-70 f9-5f fa-f4 fb-bc fc-b8 fd-e7 fe-6b ff-47 
end wires

wires 5
00-68 01-36 02-82 03-ac 04-8b 05-d3 06-0c 07-2c 
08-ae 09-28 0a-fc 0b-8e 0c-06 0d-88 0e-27 0f-29 
10-1b 11-75 12-67 13-20 14-58 15-ec 16-50 17-dd 
18-a8 19-81 1a-8c 1b-10 1c-a1 1d-54 1e-6e 1f-a6 
20-13 21-9b 22-94 23-cc 24-d1 25-2b 26-a3 27-0e 
28-09 29-0f 2a-6b 2b-25 2c-07 2d-cd 2e-62 2f-97 
30-e4 31-b6 32-cf 33-63 34-38 35-6c 36-01 37-42 
38-34 39-fa 3a-51 3b-bd 3c-9e 3d-b7 3e-f7 3f-4c 
40-c4 41-b3 42-37 43-a9 44-6f 45-8f 46-ff 47-48 
48-47 49-64 4a-c3 4b-a4 4c-3f 4d-fe 4e-9f 4f-86 
